label,id
Oi tudo bem? Cheguei em casa ,1
Que dia ensolarado! Adoro o verao ,2
Acho que vou sair para jantar hoje ,3
Você viu o novo filme? e incrivel ,4
Estou indo para a academia agora ,5
Que saudades da minha familia ,6
A festa de ontem a noite foi demais ,7
Preciso terminar essa tarefa logo ,8
Vamos marcar um cafe em breve ,9
Comprei um presente para o aniversario dele ,10
Estou com fome o que tem para o jantar ,11
Adoro ouvir musica classica a noite ,12
Fui ao parque com meu cachorro hoje ,13
Gosto de ler antes de dormir ,14
Hoje foi um dia cansativo no trabalho ,15
A comida no restaurante novo e deliciosa ,16
Preciso fazer compras no supermercado ,17
Adoro caminhar no parque a tarde ,18
Que filme você viu ontem? Conta ai ,19
Espero que tenha um otimo dia ,20
Vou sair para um passeio de bicicleta ,21
A reuniao de hoje foi produtiva ,22
Estou pensando em fazer uma viagem ,23
Que programa legal para assistir hoje a noite ,24
As flores no jardim estao lindas ,25
Preciso estudar para o exame amanha ,26
Gosto de passar o tempo com meus amigos ,27
Fui ao mercado e comprei frutas frescas ,28
Que bela vista da janela do meu quarto ,29
Acho que vou fazer um bolo hoje ,30
e incrivel como o tempo passa rapido ,31
Estou planejando um churrasco no fim de semana ,32
Adoro a sensacao de estar na praia ,33
Que filme você recomenda para assistir ,34
Estou com vontade de aprender a tocar violao ,35
Vou ao museu de arte amanha ,36
Que livro você esta lendo no momento ,37
Hoje e um daqueles dias preguicosos ,38
Adoro animais de estimacao tenho três gatos ,39
Gosto de fazer caminhadas na natureza ,40
Vou cozinhar um jantar especial hoje ,41
Estou ansioso para as ferias de verao ,42
Espero que o tempo melhore amanha ,43
Vou ao teatro na sexta-feira ,44
Que serie você esta assistindo agora ,45
Estou planejando redecorar meu quarto ,46
Gosto de ler poesia a noite ,47
Adoro o cheiro de flores frescas ,48
Estou pensando em aprender a cozinhar ,49
Vou ao parque para relaxar um pouco ,50
Minha casa e um refugio de tranquilidade ,100
A casa da arvore no jardim e o lugar favorito das criancas ,101
Comemoramos o Natal em casa todos os anos ,102
A casa de praia esta disponivel para aluguel ,103
e bom voltar para casa depois de uma longa viagem ,104
No verao passamos dias inteiros na praia ,105
O verao e a estacao perfeita para relaxar ao sol ,106
Vou viajar para um destino tropical no verao ,107
Verao e a epoca das festas na minha cidade ,108
Na academia trabalho duro para manter a forma ,109
Vou a academia todas as manhas antes do trabalho ,110
Minha rotina inclui exercicios regulares na academia ,111
Fui a academia com um amigo para um treino intenso ,112
Hoje meu treino na academia foi muito cansativo ,113
Minha familia se reune para o jantar todas as noites ,114
Adoramos cozinhar juntos e compartilhar historias durante o jantar ,115
O jantar de ontem a noite foi incrivelmente saboroso ,116
Decidimos fazer um jantar especial para comemorar ,117
O restaurante que escolhemos para o jantar tem uma vista deslumbrante ,118
Assisti a um filme emocionante no cinema ontem a noite ,119
O novo filme que lancaram e um sucesso de bilheteria ,120
a noite gosto de relaxar assistindo a um bom filme em casa ,121
O cinema e um otimo lugar para apreciar filmes na tela grande ,122
Gosto de assistir filmes de comedia para dar boas risadas ,123
Passamos o fim de semana em familia na casa de campo ,124
Nossa familia e unida e sempre apoia um ao outro ,125
A familia e o alicerce da minha vida e minha maior prioridade ,126
Reunir a familia em feriados e uma tradicao importante para nos ,127
Hoje a noite teremos uma festa de aniversario surpresa ,128
A festa de ontem a noite foi um grande sucesso ,129
Vamos organizar uma festa de verao no jardim ,130
A festa sera repleta de musica danca e diversao ,131
Preciso terminar uma tarefa importante antes do prazo ,132
A tarefa de organizar o evento e desafiadora mas gratificante ,133
Hoje minha tarefa e fazer compras para o jantar de sabado ,134
Realizar uma tarefa por vez e a chave para a produtividade ,135
A tarefa de hoje e cuidar do jardim e podar as flores ,136
Comeco o dia com uma xicara de cafe forte e aromatico ,137
Adoro o aroma do cafe frescamente moido de manha ,138
